filename,title,count,percentage,examples,alt_text,description,full
interact_27.png,Black American,12,10.8%,"Common Coon, Fancy Coon, Swell Coon","A drawing of a man wearing a top hat and formal attire, holding a banjo. The text below reads ""Negro Minstrel.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Coon, Common, Coon, Fancy, Coon, Swell, Negro Band Boy, Negro Minstrel (Endman), Swell Coon, Uncle Tom, Negro Wench, Topsy, Zulu Princess, Cotton Picker, Negro Minstrel"
interact_03.png,French,10,9.0%,"Directoire, French Marquis, French Prince","A detailed illustration of a woman in an elaborate dress with ornate patterns and a large wig holding a small basket, reaching towards a man in a decorated coat and stockings. Both characters are surrounded by musical notes and staff lines.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Directoire, French Marquis, French Prince, French Officer, French Soldier, Zouave, Marie Antoinette, Normandy Peasant, Pierette, Alphonse and Gaston"
interact_23.png,Italian,9,8.1%,"Corsican, Gondolier, Italian Peasant","A man in historical dress, wearing a tunic, tights, and a hat with a decorative feather, holding a sword at his side. The text below reads ""Italian Prince XIII. Century.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Corsican, Gondolier, Italian Peasant, Italian Pirate, Italian Prince, Peasant, Italian, Rinaldo, Italian Brigand Captain, Venetian, Italy"
interact_37.png,Near/Middle Eastern/Arab,9,8.1%,"Arabian Chief, Armenian Chief, Turk","A person in a robe and headdress is climbing a structure made of natural materials, with their foot on a step and one arm raised above. A second person, with short hair, is positioned at the bottom of the structure, looking upwards.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Arabian Chief, Armenian Chief, Turk, Turkish Pasha, Queen of the Harem, Turkish Princess, Turkish Queen, Egyptian Dancing Girl, Fortune Teller"
interact_17.png,Spanish,7,6.3%,"Matador, Spaniard, Spanish Bull Fighter","A person wearing traditional toreador clothing, including a cape and a hat, stands with one hand on their hip. The text below reads ""Spanish Toreador.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Matador, Spaniard, Spanish Bull Fighter, Spanish Prince, Toreador, Lady Matador, Spanish Lady"
interact_01.png,Dutch,6,5.4%,"Dutchman, Fat Dutchman, Dutch Professor","An illustration of a woman in a wide-brimmed hat, wearing a dress with a striped skirt and puffy sleeves. She is standing on a rounded platform adorned with musical notes. Her arms are outstretched, and she appears to be in motion.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Dutchman, Dutchman, Fat, Dutch Professor, Van Dyke, Old Dutch Styles, Dutch Girl"
interact_18.png,German,6,5.4%,"German Hussar, German Nobleman, German Officer","A person is standing, wearing elaborate clothing with puffy sleeves and ornate pants. They have a large hat with decorations and are holding a walking stick or cane. The text below reads, ""German Nobleman or Student.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","German Hussar, German Nobleman, German Officer, Peasant, German, Schwartzwalderin, German Peasant"
interact_07.png,British,5,4.5%,"Buckingham, English Officer, English Soldier","A detailed illustration of a traditional English judge's wig, featuring intricate curls and cascading layers. Below the illustration, the text reads ""English Judge Wig.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Buckingham, English Officer, English Soldier, English Swell, Nabob"
interact_04.png,Japanese,5,4.5%,"Japanese, Nanki Poo (Mikado), Japanese Lady","A person dressed in traditional attire with flowing sleeves holds a fan. The clothing features a patterned design. Below, another figure with an elaborate hairstyle and floral decorations is partially visible.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Japanese, Nanki Poo (Mikado), Japanese Lady, Katisha (Mikado), Yum Yum (Mikado)"
interact_09.png,Chinese,4,3.6%,"Chinaman, Chinese Mandarin, Oriental Lady","A drawing of a wig with a long braided ponytail. Below the image, the text reads ""Chinese Wig.""","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Chinaman, Chinese Mandarin, Oriental Lady, Chinese Lady"
interact_39.png,Indigenous American,4,3.6%,"Indian, Indian Chief, Pocahontas",An illustration of a six-strand braid with curled ends.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Indian, Indian Chief, Pocahontas, Cheyenne"
interact_02.png,Romani,4,3.6%,"Gipsy, Gipsy King, Gipsy Queen","An illustration of a woman in a detailed dress, holding a tambourine and standing beside a tall, bearded man. The woman's dress features decorative patterns, and the man's cape has circular patterns. Below, there is a small figure with a feathered headpiece.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Gipsy, Gipsy King, Gipsy Queen, Queen, Gipsy"
